Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Kyrgyz Republic","KGZ","3446.99394041558(2018)","38(2017)","43(2017)","709198.932479812(2018)","16344.3719734617(2018)","60.4735108680683(2016)","18.3953425631734(2018)","3(2018)","70(2017)"
Most Recent Value,"(Most Recent Value)","Lao PDR","LAO","6601.33234452127(2018)","25.5104350823024(2017)","..","1251961.7858552(2018)","10172.8429167433(2018)","..","..","2.5(2018)","51(2017)"
Most Recent Value,"(Most Recent Value)","Latvia","LVA","26219.3064698628(2018)","83.5771748630956(2018)","41.5(2018)","4058762(2018)","54356(2018)","..","23.6321217155412(2017)","..","71(2017)"
Most Recent Value,"(Most Recent Value)","Lebanon","LBN","11607.1758201045(2018)","78.1807748907671(2017)","..","2981937(2018)","25740(2018)","..","15.2545597166436(2017)","..","73(2017)"
Most Recent Value,"(Most Recent Value)","Lesotho","LSO","2856.70042628469(2018)","29(2017)","..","..","..","..","29.110370562425(2017)","3(2018)","48(2017)"
Most Recent Value,"(Most Recent Value)","Liberia","LBR","1161.17791634895(2018)","7.98447972152267(2017)","..","..","..","20.8452774715178(2012)","12.9091687870884(2013)","2.5(2018)","39(2017)"
Most Recent Value,"(Most Recent Value)","Libya","LBY","18424.5335933349(2018)","21.7589206159252(2017)","..","927153.880702403(2018)","7412.42875400346(2018)","..","..","..","64(2017)"
Most Recent Value,"(Most Recent Value)","Liechtenstein","LIE","..","98.1(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Lithuania","LTU","31177.5780464732(2018)","79.7225827680518(2018)","468(2018)","26031(2018)","2375(2018)","..","16.6346494297742(2017)","..","73(2017)"
Most Recent Value,"(Most Recent Value)","Luxembourg","LUX","96792.5995948665(2018)","97.061298705829(2018)","443(2018)","2099102(2018)","51824(2018)","..","25.2880850532273(2017)","..","83(2017)"
