Custom_Year_Name,"Custom_Year_Code","Country Name","Country Code","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Smoking prevalence, total, ages 15+ [SH.PRV.SMOK]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS]","Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]","Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]","Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS]","Population, total [SP.POP.TOTL]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
Most Recent Value,"(Most Recent Value)","Estonia","EST","5(2015)","3.4651(2016)","31.3(2016)","11.6(2016)","22.68592618(2016)","","16.3570737459559(2018)","64.0165694070692(2018)","19.6263568469749(2018)","1320884(2018)","31.12(2018)","4.2(2019)","1185.33334806(2016)","","21140(2018)","99.88579(2011)","21.8(2013)","5.17316(2016)"
Most Recent Value,"(Most Recent Value)","Eswatini","SWZ","2.1(2011)","0.0796(2016)","9(2016)","9.9(2016)","9.89895648(2016)","24.0969633445971(2017)","38.1124915403848(2018)","57.8729205187801(2018)","4.01458794083506(2018)","1136191(2018)","76.201(2018)","4.5(2019)","220.58673255(2016)","","3930(2018)","88.41938(2018)","58.9(2017)","7.12767(2014)"
Most Recent Value,"(Most Recent Value)","Ethiopia","ETH","0.3(2015)","0.1(2017)","4.4(2016)","2.9(2016)","37.42413218(2016)","7.96038974707188(2017)","40.7829819073234(2018)","55.7158850950668(2018)","3.50113299760986(2018)","109224559(2018)","79.237(2018)","4.3(2019)","27.52365701(2016)","1.43495574593544(2015)","790(2018)","51.77118(2017)","23.5(2015)","4.73792(2015)"
Most Recent Value,"(Most Recent Value)","Faroe Islands","FRO","","","","","","","","","","48497(2018)","57.936(2018)","4.7(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Fiji","FJI","2.3(2011)","0.8374(2015)","22.6(2016)","3(2016)","20.63828514(2016)","","29.5126222009931(2018)","65.0376973863674(2018)","5.44968041263952(2018)","883483(2018)","43.752(2018)","14.7(2019)","179.91156997(2016)","","5860(2018)","99.08211(2017)","34(2013)","3.88289(2013)"
Most Recent Value,"(Most Recent Value)","Finland","FIN","4.4(2015)","3.808(2016)","20.4(2016)","10.7(2016)","20.35397037(2016)","","16.1451829725838(2018)","62.134029481894(2018)","21.7207875455222(2018)","5518050(2018)","14.618(2018)","5.6(2019)","4117.25778244(2016)","0.973046850413084(2010)","48280(2018)","","","6.89735(2016)"
Most Recent Value,"(Most Recent Value)","France","FRA","6.5(2013)","3.2349(2016)","32.7(2016)","12.6(2016)","9.75624371(2016)","","17.9564644444787(2018)","62.0089108085333(2018)","20.0346247469881(2018)","66987244(2018)","19.556(2018)","4.8(2019)","4263.36156106(2016)","0.22499228361994(2010)","41080(2018)","","","5.43259(2016)"
Most Recent Value,"(Most Recent Value)","French Polynesia","PYF","","","","","","","22.7618941295525(2018)","68.9475977657655(2018)","8.29050810468202(2018)","277679(2018)","38.166(2018)","19.5(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Gabon","GAB","6.3(2010)","0.3611(2016)","","11.5(2016)","22.51306679(2016)","","37.0258696960045(2018)","59.4102228356395(2018)","3.56390746835592(2018)","2119275(2018)","10.63(2018)","6(2019)","220.3547089(2016)","","6830(2018)","84.66716(2018)","33.4(2017)","2.66667(2014)"
Most Recent Value,"(Most Recent Value)","Gambia, The","GMB","1.1(2011)","0.1077(2015)","15.5(2016)","3.8(2016)","23.59053007(2016)","7.87626629083994(2017)","44.2687450605107(2018)","53.141274000107(2018)","2.58998093938232(2018)","2280102(2018)","38.73(2018)","1.9(2019)","20.93043715(2016)","0.0282854773104191(2015)","710(2018)","50.77797(2015)","48.6(2015)","2.05946(2016)"
