Custom_Year_Name,"Custom_Year_Code","Country Name","Country Code","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Smoking prevalence, total, ages 15+ [SH.PRV.SMOK]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS]","Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]","Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]","Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS]","Population, total [SP.POP.TOTL]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
Most Recent Value,"(Most Recent Value)","European Union","EUU","5.60145698850332(2013)","3.57424950450375(2015)","28.2110076593151(2016)","11.3293370855943(2016)","15.6872376938761(2016)","","15.4757007918995(2018)","64.5897775244725(2018)","19.9345216836279(2018)","513213363(2018)","24.3343515342468(2018)","6.31674499829514(2019)","3211.39860368401(2016)","","35419.8157303311(2018)","","",""
Most Recent Value,"(Most Recent Value)","Fragile and conflict affected situations","FCS","","0.399737979808338(2015)","","2.52211369948457(2016)","57.3678146998178(2016)","37.5055982215253(2017)","40.2373876033717(2018)","56.311764385006(2018)","3.45084801162229(2018)","515215936(2018)","58.4931709377998(2018)","7.54500210399645(2019)","73.4421160598533(2016)","","1576.18211856424(2018)","63.75516(2018)","",""
Most Recent Value,"(Most Recent Value)","Heavily indebted poor countries (HIPC)","HPC","","0.157673894007864(2015)","","4.01592268393495(2016)","45.3198808354166(2016)","19.5349669672988(2017)","42.8560598715572(2018)","54.1155308905095(2018)","3.02840923793326(2018)","780234406(2018)","63.9915347372492(2018)","5.72934475755235(2019)","49.9846667234769(2016)","","925.845309739161(2018)","62.6266(2018)","",""
Most Recent Value,"(Most Recent Value)","High income","HIC","4.11059905053985(2013)","3.00354461372993(2015)","24.0998747800927(2016)","9.74489321665783(2016)","13.6774258305512(2016)","","16.5234666898609(2018)","65.5444893771665(2018)","17.9320439329727(2018)","1210312147(2018)","18.6650216352544(2018)","7.93688344280946(2019)","5179.67453221991(2016)","1.0858701467514(2015)","44275.2246624645(2018)","","",""
Most Recent Value,"(Most Recent Value)","Late-demographic dividend","LTE","4.2193819656913(2012)","1.94568942740016(2015)","24.7479947776751(2016)","7.45578715864414(2016)","35.7815643432904(2016)","","19.0157536118667(2018)","70.2609934017877(2018)","10.7232529863456(2018)","2288665963(2018)","37.5549009753745(2018)","8.82992722408015(2019)","469.911236716264(2016)","","9259.09260665759(2018)","96.1515(2018)","",""
Most Recent Value,"(Most Recent Value)","Latin America & Caribbean","LCN","2.17327725929248(2014)","2.16993112325967(2015)","14.3490746713373(2016)","6.9249733868032(2016)","36.6925861362699(2016)","","24.5536012826226(2018)","67.0080926456052(2018)","8.43830607177221(2018)","641357515(2018)","19.4167090136329(2018)","9.69487714094837(2019)","689.974694600166(2016)","2.48178505897522(2015)","8718.56479437343(2018)","93.86706(2018)","",""
Most Recent Value,"(Most Recent Value)","Latin America & Caribbean (excluding high income)","LAC","2.16290513214949(2014)","2.19020002816464(2015)","13.5775996351902(2016)","6.81413637840051(2016)","37.1376346862743(2016)","","24.7649039681473(2018)","66.9923932114571(2018)","8.24270282039559(2018)","609013934(2018)","19.5983744030001(2018)","9.72897505279405(2019)","665.342982517885(2016)","","8324.91032740868(2018)","93.31166(2018)","",""
Most Recent Value,"(Most Recent Value)","Latin America & the Caribbean (IDA & IBRD countries)","TLA","2.08967547696012(2014)","2.05174292804733(2015)","13.9098870308961(2016)","6.94227776525068(2016)","37.4318458552464(2016)","","24.7522577173464(2018)","66.9915330457314(2018)","8.25620923692216(2018)","625569713(2018)","19.3985876835712(2018)","9.67173030696758(2019)","683.547506510049(2016)","","8630.39332258484(2018)","93.75496(2018)","",""
Most Recent Value,"(Most Recent Value)","Least developed countries: UN classification","LDC","","0.258515594124712(2015)","15.8781784016115(2016)","3.03590895966198(2016)","51.9719815270134(2016)","28.2781448199254(2017)","39.4333624818523(2018)","57.0263884122303(2018)","3.5402491059174(2018)","1009662578(2018)","66.431939917901(2018)","6.44207725504198(2019)","43.9555331071706(2016)","","1079.75519870314(2018)","64.81693(2018)","",""
Most Recent Value,"(Most Recent Value)","Low & middle income","LMY","2.43200610494476(2011)","1.21785163056599(2015)","19.7557744090286(2016)","5.6535374718985(2016)","38.9148417646086(2016)","","27.5525934775662(2018)","65.2907552918608(2018)","7.15665123057303(2018)","6383958209(2018)","49.6721557601845(2018)","9.00182297370461(2019)","234.018536976963(2016)","","4843.8390807467(2018)","84.02266(2018)","",""
Most Recent Value,"(Most Recent Value)","Low income","LIC","","0.324906629199297(2015)","","3.58738847354537(2016)","41.0254471151822(2016)","23.2189156644508(2017)","41.889102108131(2018)","54.8197262388979(2018)","3.29117165297115(2018)","705417321(2018)","67.4277961100788(2018)","5.33978169676849(2019)","32.9047849960592(2016)","1.51550471782684(2015)","840.563512086065(2018)","63.18397(2018)","",""
Most Recent Value,"(Most Recent Value)","Lower middle income","LMC","0.986123631392897(2011)","0.74709085356065(2015)","17.3642495459391(2016)","4.7538450845481(2016)","56.1893115920292(2016)","57.3337094197714(2017)","30.1797351903036(2018)","64.290849336516(2018)","5.52941547318043(2018)","3022905169(2018)","59.4921102235817(2018)","9.5001841632112(2019)","79.4058110524874(2016)","3.26464319229126(2015)","2242.06143569053(2018)","77.24338(2018)","",""
Most Recent Value,"(Most Recent Value)","Middle East & North Africa","MEA","1.62848507118594(2014)","1.25940059965317(2015)","19.4754277781483(2016)","0.798023301980471(2016)","30.0788954121381(2016)","","29.8862621557125(2018)","64.9315764883162(2018)","5.18216135597133(2018)","448912859(2018)","34.6280256768853(2018)","11.3741770539703(2019)","437.955609851191(2016)","2.27951622009277(2015)","7693.2017302717(2018)","78.96279(2018)","",""
Most Recent Value,"(Most Recent Value)","Middle East & North Africa (excluding high income)","MNA","1.51669671692738(2014)","1.0694376664304(2015)","19.4372983119862(2016)","0.669370744751502(2016)","44.5522265673844(2016)","","31.1110443058753(2018)","63.5135193190367(2018)","5.37543637508798(2018)","382896715(2018)","38.4094524824717(2018)","10.7906391111906(2019)","245.034653542139(2016)","","3886.78011172482(2017)","75.9596(2018)","",""
Most Recent Value,"(Most Recent Value)","Middle East & North Africa (IDA & IBRD countries)","TMN","1.51669671692738(2014)","1.0694376664304(2015)","19.4372983119862(2016)","0.669370744751502(2016)","44.5522265673844(2016)","","31.0164046037891(2018)","63.5810806657711(2018)","5.40251473043988(2018)","378327628(2018)","38.5854570017155(2018)","10.8046281720058(2019)","245.034653542139(2016)","","3890.2420235283(2017)","75.72189(2018)","",""
Most Recent Value,"(Most Recent Value)","Middle income","MIC","2.40067312058978(2011)","1.32241987324859(2015)","20.2572952996569(2016)","5.84476116772183(2016)","38.8862672408426(2016)","","25.77099448535(2018)","66.5919908498999(2018)","7.63701466475014(2018)","5678540888(2018)","47.4657425301464(2018)","9.36480616609484(2019)","254.992834822211(2016)","","5342.86691119489(2018)","86.14847(2018)","",""
Most Recent Value,"(Most Recent Value)","North America","NAC","2.9(2013)","2.59634252096956(2015)","21.028524046012(2016)","9.7063915294426(2016)","11.2576181758408(2016)","","18.4202023019982(2018)","65.627220334532(2018)","15.9525773634698(2018)","364290258(2018)","17.8268451611462(2018)","10.4643542464959(2019)","9325.70589123756(2016)","0.728424727916718(2015)","61242.4381334363(2018)","","",""
Most Recent Value,"(Most Recent Value)","Not classified","INX","","","","","","","","","","","","","","","","","",""
Most Recent Value,"(Most Recent Value)","OECD members","OED","3.81428042462959(2013)","2.89193928589428(2015)","23.6460055237915(2016)","9.42619340231203(2016)","13.8687388767678(2016)","","17.8269264177606(2018)","65.0544551715178(2018)","17.1186184107216(2018)","1303529456(2018)","19.4066924289496(2018)","8.3528533171006(2019)","4667.56704972926(2016)","","40095.1568929524(2018)","","",""
Most Recent Value,"(Most Recent Value)","Other small states","OSS","","0.765803865988685(2015)","23.2120598887137(2016)","6.01374891992505(2016)","21.0195209272589(2016)","","29.9392347322767(2018)","64.5682994847169(2018)","5.49246578300642(2018)","30758989(2018)","37.8819618525498(2018)","8.24478357835328(2019)","611.763806158358(2016)","","13325.9240844934(2018)","84.52881(2018)","",""
Most Recent Value,"(Most Recent Value)","Pacific island small states","PSS","","0.478550725949962(2015)","27.3729764442634(2012)","2.11383589599809(2016)","11.8330837082845(2016)","","35.0365547703939(2018)","60.4261278529707(2018)","4.53731737663538(2018)","2457367(2018)","61.2186558820884(2018)","15.3261469361566(2019)","200.825754121745(2016)","","4150.69024591391(2018)","91.01657(2017)","",""
Most Recent Value,"(Most Recent Value)","Post-demographic dividend","PST","4.60721290884284(2013)","3.16217911564191(2015)","24.5131220224532(2016)","10.0413086862836(2016)","13.5368830235559(2016)","","16.0912386216832(2018)","64.9542444109945(2018)","18.9545169673224(2018)","1109997273(2018)","18.7193052155021(2018)","7.58198705816253(2019)","5352.17194084651(2016)","","44833.2671957852(2018)","","",""
Most Recent Value,"(Most Recent Value)","Pre-demographic dividend","PRE","","0.218402844870904(2015)","","5.99514925776025(2016)","58.2036714524087(2016)","29.8259634089456(2017)","43.7518511029062(2018)","53.4943352593295(2018)","2.75381363776434(2018)","919485393(2018)","58.7730484857523(2018)","5.37129031895693(2019)","61.1589161895823(2016)","","1373.10165210099(2018)","62.64361(2018)","",""
Most Recent Value,"(Most Recent Value)","Small states","SST","","0.898737175403803(2015)","22.3515073499803(2016)","5.80585261384673(2016)","23.1321461775864(2016)","","29.1198970830628(2018)","64.8505334681972(2018)","6.02956944874001(2018)","40575321(2018)","41.2755759294671(2018)","9.27167881556021(2019)","578.466182876036(2016)","","12027.251333496(2018)","86.20175(2018)","",""
Most Recent Value,"(Most Recent Value)","South Asia","SAS","0.674261834507074(2011)","0.768127522861804(2015)","13.6747455944686(2016)","4.46181759171354(2016)","64.4760498489452(2016)","56.7048523246738(2017)","28.4163476039442(2018)","65.7430919142796(2018)","5.84056048177619(2018)","1814388744(2018)","66.0076387543573(2018)","11.2379446987243(2019)","58.4973202782219(2016)","4.13626289367676(2015)","1923.24662337467(2018)","72.25239(2018)","",""
Most Recent Value,"(Most Recent Value)","South Asia (IDA & IBRD)","TSA","0.674261834507074(2011)","0.768127522861804(2015)","13.6747455944686(2016)","4.46181759171354(2016)","64.4760498489452(2016)","56.7048523246738(2017)","28.4163476039442(2018)","65.7430919142796(2018)","5.84056048177619(2018)","1814388744(2018)","66.0076387543573(2018)","11.2379446987243(2019)","58.4973202782219(2016)","","1923.24662337467(2018)","72.25239(2018)","",""
Most Recent Value,"(Most Recent Value)","Sub-Saharan Africa","SSF","","0.219645395939687(2015)","10.176913734358(2016)","6.26379592475504(2016)","36.7269983761682(2016)","25.4565701684791(2017)","42.5384123153354(2018)","54.4738820781197(2018)","2.98770560654484(2018)","1078306520(2018)","59.8231766270485(2018)","5.35949601586454(2019)","78.3742273218961(2016)","1.85604584217072(2015)","1517.0536862679(2018)","65.57706(2018)","",""
Most Recent Value,"(Most Recent Value)","Sub-Saharan Africa (excluding high income)","SSA","","0.219576267047523(2015)","10.1750394366725(2016)","6.26307398337997(2016)","36.7518033225755(2016)","25.4565701684791(2017)","42.5401087348427(2018)","54.4725990912016(2018)","2.98729217395572(2018)","1078209758(2018)","59.824658662197(2018)","5.35868553728478(2019)","78.3250053722542(2016)","","1515.78768884012(2018)","65.57343(2018)","",""
Most Recent Value,"(Most Recent Value)","Sub-Saharan Africa (IDA & IBRD countries)","TSS","","0.219645395939687(2015)","10.176913734358(2016)","6.26379592475504(2016)","36.7269983761682(2016)","25.4565701684791(2017)","42.5384123153354(2018)","54.4738820781197(2018)","2.98770560654484(2018)","1078306520(2018)","59.8231766270485(2018)","5.35949601586454(2019)","78.3742273218961(2016)","","1517.0536862679(2018)","65.57706(2018)","",""
Most Recent Value,"(Most Recent Value)","Upper middle income","UMC","3.84964733518275(2012)","1.97128906930559(2015)","23.2203798495616(2016)","6.91679398509816(2016)","35.49072655271(2016)","","20.7486467400202(2018)","69.2134044609211(2018)","10.0379487990588(2018)","2655635719(2018)","33.7666317019147(2018)","9.22747532326722(2019)","454.803062684803(2016)","3.5055947303772(2015)","8869.40587350731(2018)","95.18383(2018)","",""
Most Recent Value,"(Most Recent Value)","World","WLD","2.70476928109424(2011)","1.50212587214212(2015)","20.4857840022143(2016)","6.37966176957522(2016)","18.5574542307198(2016)","","25.7953762440249(2018)","65.3311815119975(2018)","8.87344224397751(2018)","7594270356(2018)","44.7294214513868(2018)","8.81238906158379(2019)","1026.24316341334(2016)","2.85339713096619(2015)","11123.7844959005(2018)","86.30101(2018)","",""
,"","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","",""
Data from database: Health Nutrition and Population Statistics,"","","","","","","","","","","","","","","","","","","","",""
Last Updated: 03/23/2020,"","","","","","","","","","","","","","","","","","","","",""
